 INSERT INTO score (enrollmentId, processScore, endOfCourse) VALUES
                        (1, 6.39, 0.25),
                        (2, 2.75, 2.23),
                        (3, 7.36, 6.77),
                        (4, 8.92, 0.87),
                        (5, 4.22, 0.3),
                        (6, 2.19, 5.05),
                        (7, 0.27, 1.99),
                        (8, 6.5, 5.45),
                        (9, 2.2, 5.89),
                        (10, 8.09, 0.06),
                        (11, 8.06, 6.98),
                        (12, 3.4, 1.55),
                        (13, 9.57, 3.37),
                        (14, 0.93, 0.97),
                        (15, 8.47, 6.04),
                        (16, 8.07, 7.3),
                        (17, 5.36, 9.73),
                        (18, 3.79, 5.52),
                        (19, 8.29, 6.19),
                        (20, 8.62, 5.77),
                        (21, 7.05, 0.46),
                        (22, 2.28, 2.89),
                        (23, 0.8, 2.33),
                        (24, 1.01, 2.78),
                        (25, 6.36, 3.65),
                        (26, 3.7, 2.1),
                        (27, 2.67, 9.37),
                        (28, 6.48, 6.09),
                        (29, 1.71, 7.29),
                        (30, 1.63, 3.79),
                        (31, 9.9, 6.4),
                        (32, 5.57, 6.85),
                        (33, 8.43, 7.76),
                        (34, 2.29, 0.32),
                        (35, 3.15, 2.68),
                        (36, 2.11, 9.43),
                        (37, 8.76, 3.15),
                        (38, 6.55, 3.96),
                        (39, 9.15, 4.59),
                        (40, 2.65, 2.47),
                        (41, 5.61, 2.63),
                        (42, 5.85, 8.98),
                        (43, 3.99, 2.19),
                        (44, 9.98, 5.1),
                        (45, 0.91, 0.47),
                        (46, 1.1, 6.27),
                        (47, 7.92, 4.22),
                        (48, 0.64, 3.82),
                        (49, 9.96, 5.29),
                        (50, 9.71, 8.61),
                        (51, 0.11, 7.21),
                        (52, 6.82, 5.37),
                        (53, 2.67, 6.41),
                        (54, 1.12, 4.35),
                        (55, 4.54, 9.54),
                        (56, 8.76, 2.63),
                        (57, 5.01, 1.79),
                        (58, 9.13, 8.71),
                        (59, 2.98, 6.39),
                        (60, 6.09, 1.53),
                        (61, 7.63, 5.39),
                        (62, 7.79, 5.3),
                        (63, 0.01, 3.24),
                        (64, 0.19, 9.29),
                        (65, 8.79, 8.32),
                        (66, 3.08, 0.58),
                        (67, 8.78, 9.47),
                        (68, 0.86, 4.86),
                        (69, 0.69, 7.61),
                        (70, 7.66, 1.28),
                        (71, 4.75, 5.5),
                        (72, 2.65, 8.72),
                        (73, 4.23, 2.12),
                        (74, 5.39, 7.3),
                        (75, 2.01, 3.12),
                        (76, 9.95, 6.5),
                        (77, 4.38, 5.18),
                        (78, 1.21, 2.25),
                        (79, 3.38, 5.88),
                        (80, 2.3, 2.2),
                        (81, 0.71, 6.31),
                        (82, 2.29, 9.05),
                        (83, 8.6, 0.71),
                        (84, 2.38, 6.69),
                        (85, 2.14, 1.32),
                        (86, 9.36, 5.71),
                        (87, 4.73, 7.85),
                        (88, 8.07, 1.9),
                        (89, 0.97, 4.31),
                        (90, 4.24, 4.67),
                        (91, 7.29, 6.73),
                        (92, 9.84, 0.98),
                        (93, 4.03, 3.39),
                        (94, 8.62, 2.49),
                        (95, 1.9, 4.49),
                        (96, 4.22, 2.79),
                        (97, 2.5, 9.23),
                        (98, 4.43, 8.61),
                        (99, 5.5, 0.51),
                        (100, 9.99, 8.36),
                        (101, 9.69, 9.26),
                        (102, 8.49, 1.66),
                        (103, 4.86, 2.14),
                        (104, 4.01, 0.59),
                        (105, 3.79, 9.85),
                        (106, 2.65, 7.84),
                        (107, 4.55, 4.23),
                        (108, 9.57, 9.95),
                        (109, 5.56, 7.18),
                        (110, 1.55, 2.97),
                        (111, 9.69, 5.79),
                        (112, 5.42, 7.48),
                        (113, 0.57, 5.84),
                        (114, 5.03, 8.53),
                        (115, 1.57, 9.61),
                        (116, 0.8, 1.86),
                        (117, 5.95, 6.75),
                        (118, 2.35, 1.2),
                        (119, 8.9, 2.46),
                        (120, 5.95, 6.19),
                        (121, 4.19, 5.84),
                        (122, 5.23, 9.35),
                        (123, 2.04, 7.16),
                        (124, 2.39, 3.96),
                        (125, 6.72, 3.0),
                        (126, 3.16, 7.52),
                        (127, 0.73, 4.58),
                        (128, 9.98, 9.96),
                        (129, 0.73, 2.13),
                        (130, 2.65, 9.33),
                        (131, 8.81, 8.79),
                        (132, 3.7, 1.58),
                        (133, 8.34, 7.04),
                        (134, 6.12, 9.87),
                        (135, 6.54, 0.08),
                        (136, 8.17, 2.99),
                        (137, 6.63, 9.39),
                        (138, 1.34, 1.15),
                        (139, 1.07, 5.53),
                        (140, 2.72, 6.05),
                        (141, 7.18, 2.04),
                        (142, 6.34, 2.64),
                        (143, 4.89, 9.05),
                        (144, 8.46, 0.92),
                        (145, 4.24, 2.77),
                        (146, 0.04, 7.71),
                        (147, 6.37, 2.62),
                        (148, 7.41, 5.52),
                        (149, 4.28, 0.1),
                        (150, 0.75, 8.83),
                        (151, 9.04, 5.46),
                        (152, 8.35, 5.83),
                        (153, 1.48, 1.27),
                        (154, 3.08, 8.99),
                        (155, 7.96, 8.61),
                        (156, 8.99, 2.1),
                        (157, 2.5, 1.03),
                        (158, 7.8, 8.84),
                        (159, 4.06, 6.21),
                        (160, 1.55, 9.3),
                        (161, 8.65, 9.76),
                        (162, 8.11, 8.81),
                        (163, 0.25, 7.37),
                        (164, 3.32, 9.31),
                        (165, 8.02, 8.64),
                        (166, 8.11, 2.67),
                        (167, 7.87, 1.08),
                        (168, 8.72, 8.59),
                        (169, 2.22, 8.17),
                        (170, 4.6, 3.05),
                        (171, 7.95, 2.28),
                        (172, 0.24, 1.93),
                        (173, 3.28, 8.64),
                        (174, 9.67, 2.79),
                        (175, 6.41, 4.0),
                        (176, 9.81, 5.36),
                        (177, 9.39, 1.15),
                        (178, 9.7, 1.79),
                        (179, 9.63, 2.65),
                        (180, 1.08, 4.35),
                        (181, 7.29, 3.14),
                        (182, 6.06, 5.11),
                        (183, 3.85, 5.77),
                        (184, 2.55, 7.09),
                        (185, 0.02, 9.26),
                        (186, 5.38, 7.19),
                        (187, 7.42, 6.71),
                        (188, 3.64, 0.7),
                        (189, 6.64, 3.3),
                        (190, 3.14, 8.48),
                        (191, 7.2, 3.0),
                        (192, 3.09, 4.08),
                        (193, 4.02, 2.96),
                        (194, 1.27, 4.2),
                        (195, 9.4, 6.77),
                        (196, 9.03, 6.16),
                        (197, 3.01, 5.48),
                        (198, 0.0, 2.87),
                        (199, 4.3, 5.8),
                        (200, 6.55, 4.65),
                        (201, 4.42, 2.14),
                        (202, 4.73, 9.01),
                        (203, 7.96, 1.7),
                        (204, 0.85, 5.15),
                        (205, 6.33, 3.35),
                        (206, 8.18, 7.51),
                        (207, 6.73, 2.25),
                        (208, 1.99, 0.24),
                        (209, 2.45, 4.75),
                        (210, 8.5, 0.73),
                        (211, 4.14, 6.3),
                        (212, 1.94, 6.96),
                        (213, 4.94, 2.44),
                        (214, 6.56, 0.06),
                        (215, 7.51, 7.7),
                        (216, 1.07, 4.25),
                        (217, 1.76, 9.58),
                        (218, 5.18, 0.5),
                        (219, 2.49, 8.48),
                        (220, 4.56, 8.01),
                        (221, 6.68, 9.88),
                        (222, 5.95, 9.5),
                        (223, 8.91, 6.13),
                        (224, 7.19, 5.05),
                        (225, 8.31, 5.48),
                        (226, 8.97, 7.44),
                        (227, 4.75, 2.59),
                        (228, 2.47, 6.38),
                        (229, 7.66, 5.21),
                        (230, 6.27, 2.75),
                        (231, 0.77, 2.86),
                        (232, 2.72, 3.2),
                        (233, 5.4, 1.38),
                        (234, 2.31, 6.94),
                        (235, 7.06, 0.64),
                        (236, 4.08, 5.43),
                        (237, 4.16, 2.07),
                        (238, 4.2, 9.05),
                        (239, 5.84, 6.96),
                        (240, 8.57, 7.66),
                        (241, 3.8, 0.06),
                        (242, 3.52, 7.53),
                        (243, 8.53, 9.53),
                        (244, 4.19, 7.48),
                        (245, 5.46, 6.03),
                        (246, 2.21, 2.19),
                        (247, 4.36, 0.29),
                        (248, 3.36, 6.79),
                        (249, 4.04, 1.65),
                        (250, 4.67, 1.28),
                        (251, 6.22, 0.27),
                        (252, 3.94, 5.64),
                        (253, 0.27, 6.43),
                        (254, 1.36, 4.62),
                        (255, 0.5, 3.79),
                        (256, 2.12, 3.27),
                        (257, 7.61, 3.79),
                        (258, 7.52, 8.32),
                        (259, 2.52, 0.82),
                        (260, 0.19, 5.39),
                        (261, 10.0, 3.5),
                        (262, 6.5, 7.81),
                        (263, 6.52, 7.54),
                        (264, 9.5, 1.99),
                        (265, 0.2, 1.52),
                        (266, 1.26, 6.69),
                        (267, 5.64, 2.18),
                        (268, 6.99, 7.67),
                        (269, 1.68, 6.07),
                        (270, 7.48, 1.15),
                        (271, 8.19, 9.65),
                        (272, 1.08, 0.26),
                        (273, 3.12, 6.77),
                        (274, 9.58, 3.97),
                        (275, 7.15, 0.76),
                        (276, 6.91, 6.27),
                        (277, 1.02, 7.72),
                        (278, 8.5, 6.0),
                        (279, 1.21, 9.84),
                        (280, 7.83, 3.47),
                        (281, 4.28, 3.71),
                        (282, 5.06, 3.41),
                        (283, 8.5, 8.22),
                        (284, 1.06, 9.61),
                        (285, 6.36, 8.29),
                        (286, 7.07, 4.35),
                        (287, 7.34, 9.65),
                        (288, 2.7, 8.08),
                        (289, 5.38, 4.83),
                        (290, 4.36, 7.31),
                        (291, 2.68, 8.52),
                        (292, 8.31, 0.87),
                        (293, 8.82, 2.44),
                        (294, 4.65, 6.1),
                        (295, 3.79, 0.29),
                        (296, 8.51, 1.82),
                        (297, 2.12, 7.98),
                        (298, 3.4, 8.8),
                        (299, 7.01, 2.76),
                        (300, 0.1, 9.48),
                        (301, 0.86, 7.2),
                        (302, 4.89, 7.58),
                        (303, 6.91, 6.46),
                        (304, 4.91, 7.93),
                        (305, 0.93, 2.22),
                        (306, 6.92, 3.06),
                        (307, 5.82, 4.73),
                        (308, 5.31, 4.26),
                        (309, 7.46, 3.31),
                        (310, 7.03, 2.71),
                        (311, 2.51, 1.21),
                        (312, 1.93, 1.2),
                        (313, 5.36, 7.62),
                        (314, 1.85, 2.16),
                        (315, 4.84, 7.25),
                        (316, 9.77, 5.25),
                        (317, 2.83, 1.01),
                        (318, 1.94, 2.27),
                        (319, 1.79, 0.14),
                        (320, 5.34, 2.74),
                        (321, 9.74, 5.53),
                        (322, 6.97, 1.26),
                        (323, 8.68, 4.91),
                        (324, 8.73, 5.74),
                        (325, 4.69, 4.4),
                        (326, 1.84, 0.51),
                        (327, 9.41, 4.78),
                        (328, 8.22, 4.01),
                        (329, 0.74, 6.29),
                        (330, 0.54, 1.49),
                        (331, 5.63, 3.04),
                        (332, 9.94, 1.18),
                        (333, 7.64, 6.06),
                        (334, 7.91, 2.26),
                        (335, 5.23, 4.51),
                        (336, 4.43, 8.6),
                        (337, 9.9, 3.05),
                        (338, 6.21, 6.1),
                        (339, 7.4, 9.48),
                        (340, 2.08, 2.11),
                        (341, 6.6, 1.57),
                        (342, 1.74, 0.75),
                        (343, 0.03, 4.51),
                        (344, 5.94, 2.91),
                        (345, 2.31, 7.07),
                        (346, 7.03, 4.54),
                        (347, 6.87, 9.24),
                        (348, 7.88, 6.25),
                        (349, 6.61, 9.34),
                        (350, 4.25, 5.45),
                        (351, 6.48, 9.08),
                        (352, 8.27, 0.71),
                        (353, 1.66, 3.08),
                        (354, 7.49, 5.69),
                        (355, 2.89, 1.24),
                        (356, 6.89, 7.0),
                        (357, 9.43, 5.0),
                        (358, 4.94, 0.8),
                        (359, 0.4, 4.32),
                        (360, 3.22, 2.5),
                        (721, 0.91, 9.62),
                        (722, 8.36, 5.75),
                        (723, 9.51, 10.0),
                        (724, 6.72, 2.7),
                        (725, 0.4, 7.56),
                        (726, 4.71, 6.52),
                        (727, 9.16, 1.81),
                        (728, 5.85, 6.35),
                        (729, 4.92, 0.91),
                        (730, 3.48, 3.33),
                        (731, 6.7, 8.58),
                        (732, 3.3, 6.94),
                        (733, 2.88, 9.45),
                        (734, 8.14, 5.5),
                        (735, 4.55, 3.15),
                        (736, 3.23, 9.7),
                        (737, 4.04, 5.15),
                        (738, 9.88, 6.58),
                        (739, 5.43, 4.13),
                        (740, 1.88, 3.62),
                        (741, 7.56, 6.25),
                        (742, 7.6, 2.04),
                        (743, 5.49, 9.28),
                        (744, 4.38, 6.98),
                        (745, 1.21, 9.73),
                        (746, 6.09, 2.39),
                        (747, 1.58, 5.51),
                        (748, 5.52, 0.93),
                        (749, 9.92, 9.13),
                        (750, 4.61, 1.17),
                        (751, 8.32, 4.98),
                        (752, 7.17, 5.09),
                        (753, 2.73, 8.35),
                        (754, 9.8, 2.44),
                        (755, 5.51, 3.84),
                        (756, 9.22, 5.08),
                        (757, 8.79, 8.64),
                        (758, 2.76, 7.9),
                        (759, 4.15, 9.34),
                        (760, 5.08, 8.21),
                        (761, 2.83, 2.99),
                        (762, 5.87, 9.99),
                        (763, 4.9, 1.49),
                        (764, 5.39, 3.45),
                        (765, 5.52, 5.43),
                        (766, 4.55, 3.22),
                        (767, 1.89, 6.97),
                        (768, 5.72, 2.34),
                        (769, 7.76, 0.44),
                        (770, 7.45, 7.05),
                        (771, 8.11, 3.86),
                        (772, 6.64, 8.21),
                        (773, 9.81, 4.95),
                        (774, 0.37, 5.02),
                        (775, 5.9, 8.7),
                        (776, 8.74, 4.4),
                        (777, 5.26, 4.57),
                        (778, 7.22, 4.1),
                        (779, 6.55, 1.54),
                        (780, 4.69, 9.69),
                        (781, 3.39, 6.93),
                        (782, 6.5, 8.52),
                        (783, 8.52, 8.59),
                        (784, 3.8, 3.17),
                        (785, 7.19, 7.59),
                        (786, 8.72, 0.36),
                        (787, 0.68, 6.31),
                        (788, 9.21, 9.97),
                        (789, 7.47, 4.34),
                        (790, 0.98, 6.34),
                        (791, 8.73, 4.44),
                        (792, 6.94, 9.03),
                        (793, 0.46, 7.96),
                        (794, 2.93, 3.75),
                        (795, 1.46, 5.31),
                        (796, 5.66, 7.93),
                        (797, 1.7, 0.79),
                        (798, 8.71, 6.2),
                        (799, 2.41, 9.13),
                        (800, 1.43, 4.61),
                        (801, 2.54, 2.55),
                        (802, 0.09, 8.05),
                        (803, 9.01, 6.78),
                        (804, 1.58, 4.42),
                        (805, 3.46, 5.88),
                        (806, 6.39, 4.24),
                        (807, 2.5, 8.45),
                        (808, 1.99, 3.85),
                        (809, 4.83, 2.37),
                        (810, 5.72, 5.75),
                        (811, 9.93, 2.95),
                        (812, 9.78, 6.58),
                        (813, 2.74, 5.66),
                        (814, 6.86, 7.45),
                        (815, 0.49, 6.06),
                        (816, 4.97, 9.04),
                        (817, 2.86, 7.99),
                        (818, 6.07, 3.52),
                        (819, 6.37, 6.21),
                        (820, 6.78, 7.21),
                        (821, 6.59, 8.38),
                        (822, 6.28, 9.03),
                        (823, 6.46, 3.09),
                        (824, 4.41, 5.8),
                        (825, 7.32, 0.9),
                        (826, 2.95, 7.47),
                        (827, 1.76, 1.32),
                        (828, 5.39, 9.71),
                        (829, 5.31, 9.13),
                        (830, 8.3, 2.57),
                        (831, 8.25, 4.82),
                        (832, 8.06, 7.47),
                        (833, 3.39, 1.15),
                        (834, 9.63, 1.41),
                        (835, 9.67, 8.6),
                        (836, 7.24, 9.8),
                        (837, 9.67, 8.05),
                        (838, 3.66, 7.91),
                        (839, 0.14, 5.37),
                        (840, 4.55, 6.73),
                        (841, 6.72, 5.85),
                        (842, 8.22, 9.4),
                        (843, 1.08, 2.34),
                        (844, 0.25, 8.84),
                        (845, 5.61, 9.15),
                        (846, 2.21, 0.63),
                        (847, 8.24, 9.09),
                        (848, 3.02, 4.08),
                        (849, 1.4, 9.46),
                        (850, 3.04, 4.93),
                        (851, 0.97, 8.87),
                        (852, 1.36, 4.54),
                        (853, 6.7, 7.43),
                        (854, 9.46, 4.19),
                        (855, 7.42, 1.55),
                        (856, 4.15, 0.99),
                        (857, 4.89, 4.08),
                        (858, 9.52, 0.33),
                        (859, 3.71, 4.43),
                        (860, 9.51, 8.55),
                        (861, 0.99, 6.86),
                        (862, 5.44, 9.78),
                        (863, 3.59, 3.98),
                        (864, 1.9, 1.22),
                        (865, 8.48, 4.55),
                        (866, 6.63, 6.42),
                        (867, 5.97, 0.21),
                        (868, 7.87, 2.44),
                        (869, 1.26, 5.65),
                        (870, 0.69, 7.65),
                        (871, 2.07, 2.16),
                        (872, 8.7, 3.29),
                        (873, 1.48, 9.01),
                        (874, 0.03, 8.58),
                        (875, 1.45, 1.3),
                        (876, 2.51, 1.74),
                        (877, 6.61, 0.26),
                        (878, 0.15, 7.9),
                        (879, 2.38, 3.24),
                        (880, 1.74, 0.52),
                        (881, 7.42, 5.26),
                        (882, 7.46, 4.76),
                        (883, 7.78, 5.13),
                        (884, 1.09, 5.04),
                        (885, 9.45, 0.43),
                        (886, 7.83, 8.67),
                        (887, 5.21, 4.58),
                        (888, 9.64, 0.61),
                        (889, 4.79, 4.02),
                        (890, 6.86, 4.9),
                        (891, 9.1, 0.73),
                        (892, 0.81, 6.08),
                        (893, 0.66, 2.75),
                        (894, 6.33, 5.48),
                        (895, 3.25, 9.95),
                        (896, 5.31, 4.54),
                        (897, 6.05, 0.99),
                        (898, 7.02, 8.53),
                        (899, 6.51, 7.69),
                        (900, 7.21, 2.15),
                        (1081, 4.52, 2.28),
                        (1082, 3.39, 4.53),
                        (1083, 4.16, 0.95),
                        (1084, 4.27, 6.65),
                        (1085, 3.74, 1.53),
                        (1086, 9.23, 0.67),
                        (1087, 8.32, 0.93),
                        (1088, 0.97, 7.39),
                        (1089, 8.12, 5.56),
                        (1090, 5.86, 5.62),
                        (1091, 3.3, 1.22),
                        (1092, 3.54, 6.65),
                        (1093, 7.5, 8.68),
                        (1094, 7.21, 9.68),
                        (1095, 6.0, 3.52),
                        (1096, 5.78, 2.13),
                        (1097, 6.57, 2.24),
                        (1098, 1.08, 8.45),
                        (1099, 3.68, 7.63),
                        (1100, 5.74, 8.07),
                        (1101, 8.45, 9.75),
                        (1102, 8.18, 6.14),
                        (1103, 6.43, 0.26),
                        (1104, 9.29, 8.29),
                        (1105, 2.67, 1.8),
                        (1106, 7.03, 3.09),
                        (1107, 3.4, 0.06),
                        (1108, 8.7, 5.66),
                        (1109, 4.01, 1.42),
                        (1110, 6.33, 0.31),
                        (1111, 7.46, 2.15),
                        (1112, 4.2, 3.41),
                        (1113, 3.7, 7.22),
                        (1114, 7.77, 5.68),
                        (1115, 0.85, 0.53),
                        (1116, 1.57, 6.18),
                        (1117, 6.74, 2.72),
                        (1118, 6.62, 4.86),
                        (1119, 4.42, 2.73),
                        (1120, 7.55, 1.14),
                        (1121, 4.3, 2.83),
                        (1122, 6.78, 4.87),
                        (1123, 6.67, 0.45),
                        (1124, 3.95, 5.99),
                        (1125, 0.08, 3.01),
                        (1126, 2.11, 1.37),
                        (1127, 2.56, 3.28),
                        (1128, 0.08, 7.47),
                        (1129, 1.76, 3.8),
                        (1130, 7.04, 5.0),
                        (1131, 8.33, 8.06),
                        (1132, 0.72, 8.62),
                        (1133, 0.42, 0.19),
                        (1134, 9.21, 8.62),
                        (1135, 5.76, 5.73),
                        (1136, 7.09, 4.18),
                        (1137, 1.15, 0.21),
                        (1138, 3.25, 8.01),
                        (1139, 6.18, 8.32),
                        (1140, 9.2, 0.88),
                        (1141, 8.44, 2.43),
                        (1142, 5.89, 5.24),
                        (1143, 3.96, 3.1),
                        (1144, 3.4, 3.33),
                        (1145, 1.68, 5.1),
                        (1146, 1.14, 5.1),
                        (1147, 9.06, 3.49),
                        (1148, 7.27, 8.19),
                        (1149, 8.15, 2.36),
                        (1150, 1.46, 1.97),
                        (1151, 6.02, 7.6),
                        (1152, 6.56, 1.77),
                        (1153, 7.73, 4.94),
                        (1154, 7.54, 7.6),
                        (1155, 4.49, 9.24),
                        (1156, 5.64, 6.35),
                        (1157, 6.25, 8.64),
                        (1158, 6.27, 1.51),
                        (1159, 0.68, 4.42),
                        (1160, 3.03, 2.75),
                        (1161, 0.56, 5.07),
                        (1162, 3.1, 4.52),
                        (1163, 0.57, 8.32),
                        (1164, 0.77, 8.64),
                        (1165, 8.55, 6.15),
                        (1166, 5.07, 4.63),
                        (1167, 5.54, 7.92),
                        (1168, 8.96, 4.5),
                        (1169, 8.1, 6.52),
                        (1170, 3.22, 4.76),
                        (1171, 1.51, 0.62),
                        (1172, 1.04, 8.99),
                        (1173, 3.43, 7.14),
                        (1174, 5.05, 1.73),
                        (1175, 2.48, 4.38),
                        (1176, 4.39, 5.23),
                        (1177, 1.59, 3.73),
                        (1178, 2.83, 4.09),
                        (1179, 3.38, 5.98),
                        (1180, 7.89, 6.47),
                        (1181, 0.66, 0.95),
                        (1182, 6.78, 2.84),
                        (1183, 7.24, 6.57),
                        (1184, 9.06, 8.73),
                        (1185, 3.33, 5.83),
                        (1186, 1.41, 3.5),
                        (1187, 9.68, 6.98),
                        (1188, 3.92, 5.95),
                        (1189, 9.38, 3.1),
                        (1190, 3.77, 7.92),
                        (1191, 8.13, 6.7),
                        (1192, 8.29, 7.39),
                        (1193, 6.85, 5.26),
                        (1194, 6.46, 4.23),
                        (1195, 3.62, 3.63),
                        (1196, 1.8, 2.14),
                        (1197, 9.48, 4.86),
                        (1198, 2.27, 1.38),
                        (1199, 0.77, 8.44),
                        (1200, 1.01, 7.71),
                        (1201, 8.35, 8.84),
                        (1202, 0.38, 3.37),
                        (1203, 7.66, 1.31),
                        (1204, 3.77, 1.62),
                        (1205, 8.31, 7.71),
                        (1206, 8.09, 1.66),
                        (1207, 4.38, 4.11),
                        (1208, 6.76, 2.38),
                        (1209, 4.44, 2.85),
                        (1210, 7.49, 4.49),
                        (1211, 5.34, 3.09),
                        (1212, 8.09, 4.69),
                        (1213, 8.35, 3.68),
                        (1214, 9.47, 9.84),
                        (1215, 4.62, 2.82),
                        (1216, 3.82, 5.27),
                        (1217, 9.66, 8.17),
                        (1218, 8.01, 1.38),
                        (1219, 2.5, 6.41),
                        (1220, 8.74, 5.55),
                        (1221, 1.03, 8.46),
                        (1222, 8.51, 2.85),
                        (1223, 7.63, 2.73),
                        (1224, 9.05, 1.47),
                        (1225, 4.37, 9.46),
                        (1226, 2.22, 4.51),
                        (1227, 3.5, 0.27),
                        (1228, 0.53, 5.02),
                        (1229, 2.36, 9.95),
                        (1230, 3.75, 0.28),
                        (1231, 9.31, 8.39),
                        (1232, 6.5, 7.91),
                        (1233, 1.38, 2.87),
                        (1234, 8.3, 6.96),
                        (1235, 1.39, 7.06),
                        (1236, 4.49, 0.05),
                        (1237, 0.79, 2.56),
                        (1238, 8.35, 5.49),
                        (1239, 7.27, 5.28),
                        (1240, 1.11, 2.88),
                        (1241, 3.01, 0.48),
                        (1242, 4.2, 7.94),
                        (1243, 4.57, 1.11),
                        (1244, 9.05, 5.97),
                        (1245, 0.16, 5.15),
                        (1246, 2.42, 1.44),
                        (1247, 4.29, 6.15),
                        (1248, 2.41, 4.17),
                        (1249, 6.64, 0.86),
                        (1250, 9.75, 0.68),
                        (1251, 5.26, 5.07),
                        (1252, 9.88, 5.54),
                        (1253, 3.9, 4.7),
                        (1254, 6.36, 9.81),
                        (1255, 2.54, 0.16),
                        (1256, 7.89, 3.45),
                        (1257, 7.33, 6.28),
                        (1258, 7.72, 7.35),
                        (1259, 3.33, 0.44),
                        (1260, 5.46, 8.14);
